itemId,Xmin_true,Ymin_true,Xmax_true,Ymax_true
5,198,827,649,1340
10,26,605,433,847
13,233,698,622,920
30,61,368,329,530
32,30,536,328,813
48,85,1031,164,1113
64,21,416,223,565
78,4,105,816,644
90,103,372,324,542
118,46,1277,143,1408
137,31,717,787,1308
142,107,197,1005,782
161,42,802,334,995
168,21,435,770,1001
190,38,734,904,1308
229,16,407,332,787
260,124,759,422,928
285,34,347,342,570
286,143,181,791,594
441,39,463,674,739
486,153,732,391,954
511,55,827,181,941
572,32,1046,948,1949
576,96,467,520,792
577,62,1031,139,1082
622,24,763,587,1324
667,0,42,921,653
678,38,591,189,713
794,82,937,1000,1855
801,99,683,260,828
813,41,1006,782,1701
843,44,989,84,1014
910,29,689,509,1083
998,283,464,808,909
1024,33,619,226,816
1032,43,464,191,609
1067,125,771,553,1126
1095,35,599,41,605
1125,57,608,436,974
1147,43,653,170,742
1275,67,570,335,767
1412,289,161,1007,1158
1451,106,138,758,527
1467,20,457,78,502
1473,56,931,336,1070
1490,24,447,71,471
1518,256,374,627,928
1571,84,752,183,845
1587,34,697,103,743
1614,309,896,652,1380
1661,23,492,87,529
1690,125,550,367,706
1691,14,302,353,568
1751,27,510,588,883
1811,43,502,62,530
1817,20,538,560,963
1983,74,709,263,846
2001,143,869,307,1001
2014,28,567,506,926
2053,91,877,720,1367
2059,35,1052,412,1451
2247,39,294,618,695
2373,155,554,934,1201
2509,53,738,285,1040
2613,79,825,400,1019
2636,41,780,360,1103
2647,102,1029,270,1257
2665,294,633,968,982
2685,91,895,385,1102
2721,38,830,496,1059
2722,86,293,372,463
2746,15,366,932,1096
2757,233,698,622,920
2765,58,829,413,1149
2776,5,144,666,581
2780,51,568,518,965
2786,74,856,360,1116
2891,29,679,908,1331
2901,253,542,723,1003
2969,55,239,875,900
3009,85,1076,210,1194
3019,276,764,405,1001
3038,92,588,249,730
3118,151,1071,739,1805
3135,73,284,596,623
3143,348,83,1003,778
3146,116,753,663,1183
3185,9,197,966,832
3281,103,319,259,477
3382,129,929,335,1196
3412,60,825,324,1062
3414,87,1003,162,1087
3420,58,668,197,791
3433,262,428,991,1061
3452,314,165,716,758
3589,63,697,222,820
3775,112,578,217,700
3777,0,57,749,519
3811,82,1055,497,1663
3816,63,835,429,1159
3927,17,511,200,714
3973,62,932,93,959
4032,151,787,732,1457
4038,28,510,45,523
4048,237,721,730,1276
4052,231,521,768,832
4094,249,529,577,964
4104,8,195,638,667
4117,56,670,137,735
4145,173,379,484,643
4163,69,737,174,857
4220,156,529,361,703
4236,5,167,712,746
4257,23,641,68,700
4322,23,359,58,390
4408,46,840,86,882
4538,363,838,949,1327
4547,159,219,886,854
4549,98,1051,242,1169
4557,46,928,109,962
4570,29,603,88,657
4582,121,357,1012,881
4584,189,716,677,1255
4608,71,295,642,726
4629,101,548,347,686
4631,43,724,387,921
4752,81,762,133,826
4788,95,814,710,1733
4846,86,718,338,930
4878,83,653,757,1138
4927,92,861,601,1278
4936,10,228,584,656
4972,109,425,705,1236
4992,104,767,253,869
5009,67,221,895,884
5014,10,305,231,571
5067,17,537,725,1445
5169,28,760,183,914
5205,37,739,214,808
5286,39,700,122,756
5312,48,819,87,853
5389,42,444,63,482
5444,-1,21,1002,768
5447,32,707,583,1118
5466,30,475,292,655
5471,36,1061,544,1591
5519,139,1202,355,1555
5602,49,605,847,1040
5604,39,415,687,1018
5611,41,833,660,1141
5647,116,569,787,987
5670,227,281,738,1040
5676,59,921,218,1028
5705,243,1640,524,1870
5709,59,399,680,905
5778,198,815,581,1198
5797,6,326,541,801
5886,148,725,577,1181
5907,84,267,536,563
5920,142,748,319,878
6013,48,924,67,938
6090,47,578,340,809
6132,47,650,213,812
6162,41,775,589,1112
6171,24,258,1029,1226
6219,23,465,176,606
6308,52,447,209,570
6433,60,937,71,953
6441,104,244,587,671
6497,89,1255,384,1532
6606,3,151,717,681
6646,16,521,355,1013
6665,36,843,86,886
6736,96,492,172,619
6933,64,756,1019,1489
7010,15,439,244,696
7090,37,811,400,1058
7243,266,684,825,1006
7266,49,328,410,575
7290,121,711,526,909
7305,86,861,463,1278
7394,50,995,215,1157
7439,212,170,904,713
7458,38,739,218,894
7478,49,574,336,853
7481,34,526,86,587
7485,23,714,158,909
7535,220,428,863,812
7555,50,1030,104,1072
7591,207,227,764,724
7617,38,775,240,917
7673,121,1029,433,1154
7707,49,1002,172,1068
7720,41,795,103,848
7761,25,452,42,474
7815,48,195,630,766
7862,174,282,661,623
7876,246,396,727,762
7994,17,622,677,1500
8127,14,514,669,1154
