userId,itemId,Xmin,Ymin,Xmax,Ymax
1164,6132,62,656,276,803
1399,6132,184,662,235,740
1694,6132,63,648,272,830
916,6132,111,637,253,831
1621,6132,60,651,242,819
1092,6132,39,649,249,825
301,31297,29,393,126,487
1508,31297,25,399,120,485
535,31297,25,399,108,472
254,18168,209,739,534,1051
1147,18168,243,719,479,977
246,18168,159,718,587,1074
29,8398,53,1020,61,1027
421,8398,54,1020,61,1028
1050,8398,53,1019,61,1028
154,8774,116,959,795,1300
866,8774,308,1044,755,1317
311,8774,288,967,296,975
1651,2722,21,324,305,507
950,2722,65,322,328,473
577,2722,22,318,312,507
1585,29286,42,605,118,691
379,29286,35,598,120,681
1165,29286,96,602,97,603
857,3135,116,171,552,575
356,3135,101,156,564,592
903,3135,105,173,476,478
1496,30215,63,368,235,548
1508,30215,38,326,220,554
590,30215,61,357,197,479
491,30215,50,330,239,554
483,30215,52,327,218,556
1453,30215,49,361,228,545
147,30215,47,320,239,548
145,30215,61,345,179,509
904,30215,36,339,227,539
1041,33357,56,899,220,1060
1411,33357,53,904,258,1069
937,33357,48,911,212,1064
660,10766,6,255,404,725
917,10766,94,214,448,689
1743,10766,60,172,479,635
831,11109,47,609,920,1102
820,11109,99,718,924,1031
1212,11109,31,603,546,1084
917,11109,79,687,935,1048
1576,11109,76,667,924,1124
1405,11109,75,656,919,1043
1743,11109,58,593,481,1082
1003,13110,43,469,515,835
1282,13110,46,435,652,922
1182,13110,70,516,493,878
1602,813,283,1042,624,1432
886,813,271,1010,679,1421
1168,813,182,1028,740,1457
506,35799,52,833,857,1281
886,35799,44,787,866,1286
615,35799,47,859,842,1296
501,25988,45,855,126,907
119,25988,47,863,115,898
1218,25988,63,855,125,913
1046,25988,85,869,104,891
507,25988,63,858,124,910
1470,25988,65,863,118,910
1329,20671,44,724,135,795
120,20671,46,733,129,792
1182,20671,47,732,118,791
70,20671,39,724,146,795
850,20671,45,727,146,796
600,20754,34,291,325,453
1689,20754,40,352,107,417
57,20754,37,312,320,453
1156,20754,36,361,109,415
919,20754,18,305,214,426
1158,20754,15,283,327,444
91,22331,107,807,336,930
422,22331,100,799,247,928
1241,22331,100,812,218,934
298,22331,118,802,204,901
488,22331,71,787,333,937
1562,22331,95,806,325,938
137,5611,49,801,693,1238
1073,5611,81,817,687,1258
1065,5611,197,943,386,1115
528,5611,64,807,169,1002
1508,5611,126,808,307,1202
149,5611,115,868,691,1253
809,5611,97,843,666,1250
819,5611,86,811,690,1254
967,5611,143,818,655,1253
969,5611,422,990,547,1146
218,11687,68,697,486,1045
1411,11687,106,716,437,1048
1469,11687,120,717,394,1049
1092,4220,128,542,447,756
1255,4220,165,546,435,801
152,4220,129,565,443,742
1752,4220,192,570,320,768
1467,4220,162,585,435,781
441,4220,178,554,439,762
1400,229,107,363,566,755
831,229,40,395,596,893
1243,229,40,397,518,879
1287,31168,120,753,205,903
1142,31168,165,757,200,789
433,31168,120,755,215,907
813,31168,106,754,185,901
207,31168,144,748,212,809
492,31168,111,752,246,840
909,31168,146,748,172,836
1508,31168,93,746,198,907
535,31168,137,767,203,896
1263,3775,67,576,276,775
562,3775,88,578,284,782
1045,3775,94,574,244,755
1302,20558,176,1112,360,1154
1623,20558,181,1103,340,1184
919,20558,165,1093,347,1202
1156,20558,166,1105,333,1169
1158,20558,159,1087,378,1202
160,20558,172,1089,378,1185
1521,20558,140,1087,379,1187
49,20558,157,1064,377,1213
981,20558,177,1101,326,1176
1133,6933,102,861,922,1668
754,6933,103,795,464,1169
421,6933,236,822,553,1663
1433,6933,222,799,553,1663
1281,6933,110,780,526,1675
577,6933,83,759,625,1699
947,6933,115,777,781,1699
952,6933,308,1186,317,1194
242,25324,64,1035,101,1090
952,25324,82,1040,97,1082
12,25324,68,1040,98,1093
639,25324,78,1039,95,1056
189,25324,60,1035,114,1094
1554,25324,66,1035,111,1093
941,25324,81,1036,109,1094
291,25324,80,1033,109,1077
957,25324,66,1035,112,1094
530,24752,199,1094,577,1555
87,24752,169,1188,610,1546
134,24752,200,1116,562,1551
258,24752,202,1136,580,1538
963,24752,192,1207,565,1487
1732,24752,282,1148,487,1446
592,24752,62,1077,672,1551
805,24752,185,1224,388,1419
931,4927,586,1264,588,1266
221,4927,45,862,608,1254
1635,4927,140,863,594,1205
505,4927,117,961,556,1230
401,4927,52,871,594,1240
1601,4927,184,866,472,1158
1116,4927,73,859,608,1267
525,23173,277,503,577,804
636,23173,204,528,633,839
1182,23173,294,590,575,837
1728,18756,82,739,679,1143
699,18756,116,781,598,1106
297,18756,64,726,703,1165
886,28677,53,508,329,655
61,28677,76,507,345,652
1225,28677,50,508,380,637
955,27107,34,529,574,878
744,27107,63,584,295,872
79,27107,89,561,542,864
340,27107,53,657,516,850
409,27107,75,615,495,870
421,27107,56,641,311,868
337,27107,58,620,566,850
1187,27107,64,650,569,879
577,27107,62,594,549,864
1719,27107,93,594,538,849
638,27107,49,645,562,864
330,21822,170,369,823,1134
1182,21822,198,612,754,1097
853,21822,251,395,807,1090
569,18346,667,789,670,791
416,18346,27,732,711,1136
890,18346,24,732,687,1150
1659,18346,261,929,671,1152
956,18346,198,783,216,787
1720,18346,38,731,673,1155
957,23371,32,471,120,532
752,23371,30,472,119,530
636,23371,29,471,119,531
283,10521,73,847,315,992
1599,10521,100,868,315,994
886,10521,55,835,318,995
392,10521,66,850,314,999
1696,10521,67,837,310,994
279,35719,182,617,628,767
1046,35719,152,787,540,886
1704,35719,75,623,635,919
1408,35719,198,646,536,915
615,35719,164,600,576,943
506,35719,244,640,550,753
886,35719,245,619,554,761
1602,35719,116,578,642,931
119,35719,165,732,572,907
1654,32159,142,610,539,1037
1281,32159,102,555,858,1304
957,32159,117,553,773,1273
947,32159,108,475,856,1304
525,32159,161,561,701,1127
191,32159,129,653,627,1185
934,33084,61,639,319,939
1530,33084,80,680,292,903
1270,33084,153,781,272,853
272,33084,63,687,338,939
7,33084,53,642,346,940
58,33084,90,683,298,851
318,33084,75,673,309,897
884,33084,46,639,381,936
285,33084,62,662,382,877
1500,23728,70,657,279,797
971,23728,36,595,322,811
140,23728,51,630,283,802
355,19125,72,420,142,541
817,19125,59,442,162,530
1663,19125,71,421,192,544
763,19125,76,430,181,540
1503,19125,87,440,156,528
429,19125,93,427,154,526
1508,142,265,295,623,711
1134,142,277,344,615,707
436,142,227,319,669,702
1389,12677,63,812,417,1164
909,12677,157,828,473,1158
963,12677,151,871,400,1166
306,6497,78,1208,417,1627
1389,6497,78,1199,460,1626
195,6497,89,1202,375,1616
1540,5067,107,600,715,1422
478,5067,128,684,628,1337
577,5067,158,691,550,1351
521,1811,30,500,73,535
190,1811,31,499,65,524
1650,1811,43,509,57,528
518,1811,32,500,71,532
338,1811,32,510,68,522
952,1811,33,501,63,525
748,1811,35,501,58,516
744,1811,29,497,72,535
1274,1811,31,498,66,535
831,13695,46,883,325,1006
552,13695,59,887,322,1003
1308,13695,38,890,321,1010
161,13695,57,885,322,1008
315,13695,58,882,292,1008
1739,13855,57,1121,62,1126
315,13855,57,1122,62,1126
552,13855,56,1121,64,1127
523,35648,236,948,886,1321
1435,35648,179,962,901,1327
1425,35648,245,911,891,1334
952,35648,227,876,329,964
191,35648,276,1000,521,1180
891,35648,32,734,902,1332
1420,35648,299,915,883,1309
895,35648,278,921,901,1330
631,35648,277,906,890,1341
1147,18159,140,870,272,1066
246,18159,124,874,294,1064
480,18159,127,871,287,1005
245,18159,151,868,301,1058
254,18159,129,869,284,1062
1397,18281,123,820,420,987
374,18281,166,838,448,964
161,18281,140,799,476,1022
1304,18281,165,881,465,1065
1622,18281,204,878,411,963
831,10732,42,534,447,831
1743,10732,172,527,420,714
660,10732,44,545,453,845
917,10732,135,532,471,858
1212,10732,27,526,471,856
450,10732,32,528,466,855
1136,14941,27,313,146,411
1016,14941,44,316,140,402
970,14941,46,313,156,408
1723,6090,165,529,398,802
137,6090,130,520,401,802
1389,6090,141,533,390,798
490,6090,206,525,389,775
529,6090,128,518,404,801
90,6090,220,542,392,805
1562,6090,193,539,400,788
1451,6090,199,527,402,801
149,6090,197,529,352,775
1340,6090,254,650,293,708
496,13623,45,612,70,645
831,13623,45,611,73,643
917,13623,45,613,66,645
759,33764,93,977,568,1344
648,33764,114,1001,561,1355
32,33764,86,1023,584,1332
1751,27634,105,724,854,1295
1078,27634,56,757,857,1245
979,27634,73,639,875,1309
1158,20710,19,577,868,1071
600,20710,39,513,861,1065
1464,20710,26,496,816,1070
1521,20710,96,598,846,1065
1623,20710,114,599,436,1069
919,20710,73,621,821,1016
981,20710,116,626,852,1066
157,20710,37,585,446,1064
1114,26881,42,692,292,861
1268,26881,54,695,276,860
1311,26881,40,691,296,840
592,23858,206,1155,519,1541
140,23858,217,1163,539,1498
971,23858,182,1177,539,1545
433,31086,33,612,116,654
1671,31086,38,607,116,655
1727,31086,39,611,110,655
649,31086,37,613,112,653
909,31086,40,608,73,653
207,31086,102,611,114,617
902,16681,55,580,119,635
813,16681,58,572,123,634
909,16681,42,573,130,636
1083,22125,128,840,376,1093
1258,22125,68,856,392,1148
55,22125,63,783,454,1130
1483,23546,93,766,330,908
1327,23546,77,758,324,907
952,23546,94,761,334,885
15,23546,59,747,330,915
957,23546,51,752,336,916
106,16073,60,539,623,897
1629,16073,334,657,600,929
1626,16073,372,690,584,912
1509,16073,54,542,637,932
1681,16073,43,519,628,923
1584,16073,48,516,589,918
1249,33275,302,668,688,1088
1520,33275,502,748,610,1089
1084,33275,523,690,644,870
1304,33275,401,689,755,1071
1578,33275,437,742,752,1110
1513,33275,101,650,831,1130
656,33275,389,693,692,1078
499,33275,343,666,729,1094
874,33275,299,712,745,1068
41,35476,53,958,89,981
94,35476,56,957,89,981
200,35476,53,957,89,981
1548,32119,38,580,230,853
952,32119,68,636,234,803
465,32119,44,636,228,843
1709,32119,30,631,240,815
191,32119,65,606,235,708
947,32119,33,622,220,832
128,32119,30,581,227,863
592,26046,42,305,277,496
1508,26046,77,360,241,453
1387,26046,82,345,220,436
1346,26046,47,323,93,431
581,26046,40,345,255,466
1454,26046,73,340,228,431
761,26046,74,336,238,452
1585,35341,32,600,472,1080
1512,35341,88,565,456,1092
1400,35341,233,609,376,817
713,35341,87,553,484,1076
828,35341,24,586,329,707
769,35341,37,621,448,1097
1684,35341,73,574,453,1050
495,35341,205,726,213,805
957,31863,148,451,652,857
577,31863,210,498,565,793
750,31863,124,490,575,806
346,31863,133,473,587,832
947,31863,212,488,595,831
335,31863,180,498,421,734
1208,21390,135,863,201,915
966,21390,75,861,232,1000
865,21390,70,847,216,1014
805,21390,113,843,222,972
592,21390,32,834,216,1026
1508,21390,31,938,132,1015
1662,28464,23,274,443,425
252,28464,103,319,411,433
1383,28464,94,295,429,453
1506,4117,49,663,137,727
972,4117,55,662,127,730
1562,4117,42,661,134,732
1212,11131,57,735,564,1150
917,11131,95,727,554,1143
831,11131,84,734,539,1133
1231,9743,86,527,519,1052
421,9743,43,502,511,1056
71,9743,83,495,693,1084
1277,9743,92,541,489,1060
1719,9743,69,484,695,1046
748,9743,28,519,300,888
963,12582,230,770,860,1235
142,12582,405,766,858,1137
